Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,Construction,SG01RSC04B01EE1,1995Q3,0.0416344,1479.777
Industry groups,Wholesale trade,SG01RSC04B01FF1,1995Q3,0.0560645,1857.764
Industry groups,Retail trade,SG01RSC04B01GH1,1995Q3,0.0467210,1342.827
Industry groups,Accommodation services,SG01RSC04B01GH2,1995Q3,0.0180816,720.783
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1995Q3,0.0540741,1473.420
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1995Q3,0.0424079,668.536
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1995Q3,0.0401640,1607.650
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1995Q3,0.0515865,1999.484
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1995Q3,0.0751390,2053.018
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1995Q3,0.0547344,2170.129
Industry groups,Administrative and support services,SG01RSC04B01MN2,1995Q3,0.0154970,630.709
Industry groups,Local Government administration,SG01RSC04B01OO1,1995Q3,0.0047938,168.384
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1995Q3,0.0340140,1204.195
Industry groups,Education and training,SG01RSC04B01PP1,1995Q3,0.0393389,1776.923
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1995Q3,0.0428286,1586.095
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1995Q3,0.0114010,467.293
Industry groups,Other services,SG01RSC04B01RS2,1995Q3,0.0174796,587.415
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1995Q3,0.0739358,2205.694
Industry groups,Agriculture,SG01RSC04B01AA1,1995Q4,0.0453697,1861.129
Industry groups,Forestry and logging,SG01RSC04B01AA2,1995Q4,0.0102935,213.327
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1995Q4,0.0088423,322.685
Industry groups,Mining,SG01RSC04B01BB1,1995Q4,0.0112127,573.050
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1995Q4,0.0524956,1278.237
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1995Q4,0.0103778,278.588
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1995Q4,0.0209034,421.840
Industry groups,Printing,SG01RSC04B01CC4,1995Q4,0.0070352,223.835
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1995Q4,0.0335357,878.683
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1995Q4,0.0063262,189.383
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1995Q4,0.0193815,607.021
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1995Q4,0.0221184,881.467
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1995Q4,0.0048327,178.030
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1995Q4,0.0273793,1319.424
Industry groups,Construction,SG01RSC04B01EE1,1995Q4,0.0416344,1526.295
Industry groups,Wholesale trade,SG01RSC04B01FF1,1995Q4,0.0560645,1832.241
Industry groups,Retail trade,SG01RSC04B01GH1,1995Q4,0.0467210,1345.741
Industry groups,Accommodation services,SG01RSC04B01GH2,1995Q4,0.0180816,716.360
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1995Q4,0.0540741,1488.793
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1995Q4,0.0424079,674.411
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1995Q4,0.0401640,1617.018
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1995Q4,0.0515865,2041.949
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1995Q4,0.0751390,2055.908
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1995Q4,0.0547344,2169.508
Industry groups,Administrative and support services,SG01RSC04B01MN2,1995Q4,0.0154970,640.595
Industry groups,Local Government administration,SG01RSC04B01OO1,1995Q4,0.0047938,168.182
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1995Q4,0.0340140,1222.176
Industry groups,Education and training,SG01RSC04B01PP1,1995Q4,0.0393389,1789.320
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1995Q4,0.0428286,1607.141
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1995Q4,0.0114010,467.833
Industry groups,Other services,SG01RSC04B01RS2,1995Q4,0.0174796,593.983
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1995Q4,0.0739358,2228.963
Industry groups,Agriculture,SG01RSC04B01AA1,1996Q1,0.0453697,1929.819
Industry groups,Forestry and logging,SG01RSC04B01AA2,1996Q1,0.0102935,208.300
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1996Q1,0.0088423,339.239
Industry groups,Mining,SG01RSC04B01BB1,1996Q1,0.0112127,592.121
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1996Q1,0.0524956,1313.033
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1996Q1,0.0103778,281.923
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1996Q1,0.0209034,428.424
Industry groups,Printing,SG01RSC04B01CC4,1996Q1,0.0070352,219.813
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1996Q1,0.0335357,915.516
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1996Q1,0.0063262,189.104
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1996Q1,0.0193815,596.553
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1996Q1,0.0221184,864.287
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1996Q1,0.0048327,171.274
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1996Q1,0.0273793,1324.253
Industry groups,Construction,SG01RSC04B01EE1,1996Q1,0.0416344,1545.722
Industry groups,Wholesale trade,SG01RSC04B01FF1,1996Q1,0.0560645,1805.523
Industry groups,Retail trade,SG01RSC04B01GH1,1996Q1,0.0467210,1368.523
Industry groups,Accommodation services,SG01RSC04B01GH2,1996Q1,0.0180816,726.852
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1996Q1,0.0540741,1537.170
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1996Q1,0.0424079,688.404
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1996Q1,0.0401640,1604.161
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1996Q1,0.0515865,2124.286
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1996Q1,0.0751390,2062.699
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1996Q1,0.0547344,2251.860
Industry groups,Administrative and support services,SG01RSC04B01MN2,1996Q1,0.0154970,659.090
Industry groups,Local Government administration,SG01RSC04B01OO1,1996Q1,0.0047938,166.265
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1996Q1,0.0340140,1252.650
Industry groups,Education and training,SG01RSC04B01PP1,1996Q1,0.0393389,1801.241
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1996Q1,0.0428286,1591.944
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1996Q1,0.0114010,479.836
Industry groups,Other services,SG01RSC04B01RS2,1996Q1,0.0174796,616.656
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1996Q1,0.0739358,2295.962
Industry groups,Agriculture,SG01RSC04B01AA1,1996Q2,0.0456190,1957.455
Industry groups,Forestry and logging,SG01RSC04B01AA2,1996Q2,0.0097612,196.251
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1996Q2,0.0089939,346.446
Industry groups,Mining,SG01RSC04B01BB1,1996Q2,0.0123538,612.489
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1996Q2,0.0500931,1295.347
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1996Q2,0.0104487,281.244
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1996Q2,0.0186217,453.887
Industry groups,Printing,SG01RSC04B01CC4,1996Q2,0.0067940,224.049
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1996Q2,0.0299544,902.828
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1996Q2,0.0059410,188.715
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1996Q2,0.0181425,615.368
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1996Q2,0.0219233,904.047
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1996Q2,0.0046777,178.653
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1996Q2,0.0280689,1265.578
Industry groups,Construction,SG01RSC04B01EE1,1996Q2,0.0436017,1597.948
Industry groups,Wholesale trade,SG01RSC04B01FF1,1996Q2,0.0526870,1820.099
Industry groups,Retail trade,SG01RSC04B01GH1,1996Q2,0.0453592,1382.035
Industry groups,Accommodation services,SG01RSC04B01GH2,1996Q2,0.0190023,733.084
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1996Q2,0.0496948,1516.510
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1996Q2,0.0426668,701.299
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1996Q2,0.0405114,1614.428
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1996Q2,0.0547265,2091.296
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1996Q2,0.0765520,2063.796
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1996Q2,0.0606340,2301.702
Industry groups,Administrative and support services,SG01RSC04B01MN2,1996Q2,0.0175451,655.550
Industry groups,Local Government administration,SG01RSC04B01OO1,1996Q2,0.0043191,171.642
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1996Q2,0.0343323,1253.688
Industry groups,Education and training,SG01RSC04B01PP1,1996Q2,0.0395432,1814.786
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1996Q2,0.0437946,1597.399
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1996Q2,0.0114227,457.827
Industry groups,Other services,SG01RSC04B01RS2,1996Q2,0.0176184,613.185
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1996Q2,0.0745954,2337.567
Industry groups,Agriculture,SG01RSC04B01AA1,1996Q3,0.0456190,2063.030
Industry groups,Forestry and logging,SG01RSC04B01AA2,1996Q3,0.0097612,207.263
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1996Q3,0.0089939,341.812
Industry groups,Mining,SG01RSC04B01BB1,1996Q3,0.0123538,684.303
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1996Q3,0.0500931,1283.907
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1996Q3,0.0104487,299.324
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1996Q3,0.0186217,451.906
Industry groups,Printing,SG01RSC04B01CC4,1996Q3,0.0067940,226.313
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1996Q3,0.0299544,916.989
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1996Q3,0.0059410,184.973
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1996Q3,0.0181425,597.723
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1996Q3,0.0219233,889.545
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1996Q3,0.0046777,173.536
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1996Q3,0.0280689,1186.599
Industry groups,Construction,SG01RSC04B01EE1,1996Q3,0.0436017,1621.287
Industry groups,Wholesale trade,SG01RSC04B01FF1,1996Q3,0.0526870,1860.072
Industry groups,Retail trade,SG01RSC04B01GH1,1996Q3,0.0453592,1382.397
Industry groups,Accommodation services,SG01RSC04B01GH2,1996Q3,0.0190023,748.429
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1996Q3,0.0496948,1519.175
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1996Q3,0.0426668,714.659
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1996Q3,0.0405114,1621.637
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1996Q3,0.0547265,2078.900
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1996Q3,0.0765520,2068.330
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1996Q3,0.0606340,2356.694
Industry groups,Administrative and support services,SG01RSC04B01MN2,1996Q3,0.0175451,664.419
Industry groups,Local Government administration,SG01RSC04B01OO1,1996Q3,0.0043191,167.235
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1996Q3,0.0343323,1206.756
Industry groups,Education and training,SG01RSC04B01PP1,1996Q3,0.0395432,1826.791
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1996Q3,0.0437946,1602.649
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1996Q3,0.0114227,484.653
Industry groups,Other services,SG01RSC04B01RS2,1996Q3,0.0176184,623.217
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1996Q3,0.0745954,2349.932
Industry groups,Agriculture,SG01RSC04B01AA1,1996Q4,0.0456190,2141.455
Industry groups,Forestry and logging,SG01RSC04B01AA2,1996Q4,0.0097612,201.428
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1996Q4,0.0089939,337.447
Industry groups,Mining,SG01RSC04B01BB1,1996Q4,0.0123538,766.180
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1996Q4,0.0500931,1291.251
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1996Q4,0.0104487,300.202
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1996Q4,0.0186217,441.285
Industry groups,Printing,SG01RSC04B01CC4,1996Q4,0.0067940,214.071
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1996Q4,0.0299544,926.721
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1996Q4,0.0059410,191.216
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1996Q4,0.0181425,603.993
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1996Q4,0.0219233,876.785
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1996Q4,0.0046777,168.350
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1996Q4,0.0280689,1263.860
Industry groups,Construction,SG01RSC04B01EE1,1996Q4,0.0436017,1654.238
Industry groups,Wholesale trade,SG01RSC04B01FF1,1996Q4,0.0526870,1854.651
Industry groups,Retail trade,SG01RSC04B01GH1,1996Q4,0.0453592,1396.683
Industry groups,Accommodation services,SG01RSC04B01GH2,1996Q4,0.0190023,735.562
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1996Q4,0.0496948,1522.118
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1996Q4,0.0426668,723.432
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1996Q4,0.0405114,1648.301
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1996Q4,0.0547265,2134.507
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1996Q4,0.0765520,2076.535
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1996Q4,0.0606340,2445.560
Industry groups,Administrative and support services,SG01RSC04B01MN2,1996Q4,0.0175451,685.122
Industry groups,Local Government administration,SG01RSC04B01OO1,1996Q4,0.0043191,166.979
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1996Q4,0.0343323,1228.608
Industry groups,Education and training,SG01RSC04B01PP1,1996Q4,0.0395432,1837.262
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1996Q4,0.0437946,1615.634
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1996Q4,0.0114227,482.360
Industry groups,Other services,SG01RSC04B01RS2,1996Q4,0.0176184,615.124
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1996Q4,0.0745954,2368.087
Industry groups,Agriculture,SG01RSC04B01AA1,1997Q1,0.0456190,2199.854
Industry groups,Forestry and logging,SG01RSC04B01AA2,1997Q1,0.0097612,198.884
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1997Q1,0.0089939,321.430
Industry groups,Mining,SG01RSC04B01BB1,1997Q1,0.0123538,841.354
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1997Q1,0.0500931,1263.107
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1997Q1,0.0104487,291.077
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1997Q1,0.0186217,447.081
Industry groups,Printing,SG01RSC04B01CC4,1997Q1,0.0067940,221.857
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1997Q1,0.0299544,919.043
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1997Q1,0.0059410,186.000
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1997Q1,0.0181425,599.894
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1997Q1,0.0219233,843.133
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1997Q1,0.0046777,160.294
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1997Q1,0.0280689,1227.120
Industry groups,Construction,SG01RSC04B01EE1,1997Q1,0.0436017,1716.935
Industry groups,Wholesale trade,SG01RSC04B01FF1,1997Q1,0.0526870,1826.848
Industry groups,Retail trade,SG01RSC04B01GH1,1997Q1,0.0453592,1379.391
Industry groups,Accommodation services,SG01RSC04B01GH2,1997Q1,0.0190023,733.227
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1997Q1,0.0496948,1481.276
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1997Q1,0.0426668,731.571
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1997Q1,0.0405114,1679.011
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1997Q1,0.0547265,2158.701
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1997Q1,0.0765520,2089.136
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1997Q1,0.0606340,2475.297
Industry groups,Administrative and support services,SG01RSC04B01MN2,1997Q1,0.0175451,684.838
Industry groups,Local Government administration,SG01RSC04B01OO1,1997Q1,0.0043191,169.060
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1997Q1,0.0343323,1200.103
Industry groups,Education and training,SG01RSC04B01PP1,1997Q1,0.0395432,1846.207
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1997Q1,0.0437946,1615.223
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1997Q1,0.0114227,481.923
Industry groups,Other services,SG01RSC04B01RS2,1997Q1,0.0176184,609.885
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1997Q1,0.0745954,2353.287
Industry groups,Agriculture,SG01RSC04B01AA1,1997Q2,0.0433925,2194.427
Industry groups,Forestry and logging,SG01RSC04B01AA2,1997Q2,0.0088460,220.424
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1997Q2,0.0085354,334.268
Industry groups,Mining,SG01RSC04B01BB1,1997Q2,0.0119163,801.097
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1997Q2,0.0512056,1347.778
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1997Q2,0.0090067,303.647
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1997Q2,0.0172086,438.919
Industry groups,Printing,SG01RSC04B01CC4,1997Q2,0.0066268,220.013
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1997Q2,0.0291272,939.544
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1997Q2,0.0058069,191.163
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1997Q2,0.0193458,633.435
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1997Q2,0.0203835,859.835
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1997Q2,0.0045040,165.334
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1997Q2,0.0287044,1194.792
Industry groups,Construction,SG01RSC04B01EE1,1997Q2,0.0442895,1694.805
Industry groups,Wholesale trade,SG01RSC04B01FF1,1997Q2,0.0548013,1912.704
Industry groups,Retail trade,SG01RSC04B01GH1,1997Q2,0.0444565,1414.822
Industry groups,Accommodation services,SG01RSC04B01GH2,1997Q2,0.0184356,727.300
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1997Q2,0.0470367,1508.393
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1997Q2,0.0434882,756.117
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1997Q2,0.0419889,1693.377
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1997Q2,0.0540359,2148.572
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1997Q2,0.0778295,2104.905
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1997Q2,0.0636114,2446.790
Industry groups,Administrative and support services,SG01RSC04B01MN2,1997Q2,0.0176109,673.276
Industry groups,Local Government administration,SG01RSC04B01OO1,1997Q2,0.0042643,168.593
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1997Q2,0.0341591,1225.217
Industry groups,Education and training,SG01RSC04B01PP1,1997Q2,0.0400618,1853.484
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1997Q2,0.0451691,1692.755
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1997Q2,0.0127803,505.473
Industry groups,Other services,SG01RSC04B01RS2,1997Q2,0.0180727,644.745
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1997Q2,0.0732985,2406.424
Industry groups,Agriculture,SG01RSC04B01AA1,1997Q3,0.0433925,2150.100
Industry groups,Forestry and logging,SG01RSC04B01AA2,1997Q3,0.0088460,211.668
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1997Q3,0.0085354,313.476
Industry groups,Mining,SG01RSC04B01BB1,1997Q3,0.0119163,726.860
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1997Q3,0.0512056,1322.664
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1997Q3,0.0090067,286.123
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1997Q3,0.0172086,431.435
Industry groups,Printing,SG01RSC04B01CC4,1997Q3,0.0066268,223.600
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1997Q3,0.0291272,892.609
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1997Q3,0.0058069,197.050
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1997Q3,0.0193458,627.161
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1997Q3,0.0203835,832.295
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1997Q3,0.0045040,168.431
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1997Q3,0.0287044,1242.902
Industry groups,Construction,SG01RSC04B01EE1,1997Q3,0.0442895,1778.265
Industry groups,Wholesale trade,SG01RSC04B01FF1,1997Q3,0.0548013,1838.283
Industry groups,Retail trade,SG01RSC04B01GH1,1997Q3,0.0444565,1424.030
Industry groups,Accommodation services,SG01RSC04B01GH2,1997Q3,0.0184356,733.745
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1997Q3,0.0470367,1518.802
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1997Q3,0.0434882,769.417
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1997Q3,0.0419889,1693.009
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1997Q3,0.0540359,2128.204
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1997Q3,0.0778295,2115.425
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1997Q3,0.0636114,2525.289
Industry groups,Administrative and support services,SG01RSC04B01MN2,1997Q3,0.0176109,696.166
Industry groups,Local Government administration,SG01RSC04B01OO1,1997Q3,0.0042643,166.901
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1997Q3,0.0341591,1193.436
Industry groups,Education and training,SG01RSC04B01PP1,1997Q3,0.0400618,1862.911
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1997Q3,0.0451691,1745.800
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1997Q3,0.0127803,519.450
Industry groups,Other services,SG01RSC04B01RS2,1997Q3,0.0180727,642.543
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1997Q3,0.0732985,2373.705
Industry groups,Agriculture,SG01RSC04B01AA1,1997Q4,0.0433925,2138.080
Industry groups,Forestry and logging,SG01RSC04B01AA2,1997Q4,0.0088460,207.806
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1997Q4,0.0085354,308.667
Industry groups,Mining,SG01RSC04B01BB1,1997Q4,0.0119163,702.231
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1997Q4,0.0512056,1309.966
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1997Q4,0.0090067,278.415
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1997Q4,0.0172086,426.701
Industry groups,Printing,SG01RSC04B01CC4,1997Q4,0.0066268,220.840
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1997Q4,0.0291272,916.673
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1997Q4,0.0058069,183.704
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1997Q4,0.0193458,633.478
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1997Q4,0.0203835,833.871
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1997Q4,0.0045040,172.429
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1997Q4,0.0287044,1266.569
Industry groups,Construction,SG01RSC04B01EE1,1997Q4,0.0442895,1711.479
Industry groups,Wholesale trade,SG01RSC04B01FF1,1997Q4,0.0548013,1883.632
Industry groups,Retail trade,SG01RSC04B01GH1,1997Q4,0.0444565,1429.384
Industry groups,Accommodation services,SG01RSC04B01GH2,1997Q4,0.0184356,743.479
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1997Q4,0.0470367,1532.376
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1997Q4,0.0434882,765.073
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1997Q4,0.0419889,1686.944
