hlpi_name,year,hlpi,nzhec,nzhec_name,nzhec_short,level,nzhec1,nzhec1_name,nzhec1_short,weight,exp_pw,eqv_exp_pw,,,
Māori,2008,maori,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,8.3,56.2,31.5,,,
Māori,2008,maori,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,4.3,29.1,16.3,,,
Māori,2008,maori,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,4,27.1,15.2,,,
Māori,2008,maori,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,2.6,17.6,9.9,,,
Māori,2008,maori,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,2.2,14.9,8.4,,,
Māori,2008,maori,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.4,2.7,1.5,,,
Māori,2008,maori,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,25.7,174,97.6,,,
Māori,2008,maori,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,16.3,110.4,61.9,,,
Māori,2008,maori,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,1.4,9.5,5.3,,,
Māori,2008,maori,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,2.4,16.3,9.1,,,
Māori,2008,maori,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,5.7,38.6,21.6,,,
Māori,2008,maori,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,4,27.1,15.2,,,
Māori,2008,maori,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,1.3,8.8,4.9,,,
Māori,2008,maori,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.3,2,1.1,,,
Māori,2008,maori,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,1,6.8,3.8,,,
Māori,2008,maori,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.3,2,1.1,,,
Māori,2008,maori,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.4,2.7,1.5,,,
Māori,2008,maori,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,0.7,4.7,2.7,,,
Māori,2008,maori,6,Health,Health,group,6,Health,Health,2.6,17.6,9.9,,,
Māori,2008,maori,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,0.8,5.4,3,,,
Māori,2008,maori,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,1.6,10.8,6.1,,,
Māori,2008,maori,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.2,1.4,0.8,,,
Māori,2008,maori,7,Transport,Transport,group,7,Transport,Transport,12.6,85.3,47.8,,,
Māori,2008,maori,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,1.4,9.5,5.3,,,
Māori,2008,maori,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,9.7,65.7,36.8,,,
Māori,2008,maori,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,1.5,10.2,5.7,,,
Māori,2008,maori,8,Communication,Communication,group,8,Communication,Communication,3.8,25.7,14.4,,,
Māori,2008,maori,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.1,0.7,0.4,,,
Māori,2008,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.2,1.4,0.8,,,
Māori,2008,maori,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,3.5,23.7,13.3,,,
Māori,2008,maori,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,6.6,44.7,25.1,,,
Māori,2008,maori,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.5,10.2,5.7,,,
Māori,2008,maori,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0.2,1.4,0.8,,,
Māori,2008,maori,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,1.5,10.2,5.7,,,
Māori,2008,maori,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,1.9,12.9,7.2,,,
Māori,2008,maori,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,0.9,6.1,3.4,,,
Māori,2008,maori,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.2,1.4,0.8,,,
Māori,2008,maori,9.7,Package holidays,Package holidays,subgroup,9,Recreation and culture,Recreation and culture,0.3,2,1.1,,,
Māori,2008,maori,10,Education,Education,group,10,Education,Education,1.2,8.1,4.6,,,
Māori,2008,maori,10.1,Early childhood education,Early childhood education,subgroup,10,Education,Education,0.3,2,1.1,,,
Māori,2008,maori,10.2,Primary and secondary education,Primary/secondary education,subgroup,10,Education,Education,0.5,3.4,1.9,,,
Māori,2008,maori,10.3,Tertiary and other post school education,Tertiary education,subgroup,10,Education,Education,0.4,2.7,1.5,,,
Māori,2008,maori,10.4,Other educational fees,Other education,subgroup,10,Education,Education,0,0,0,,,
Māori,2008,maori,11,Miscellaneous goods and services,Miscellaneous,group,11,Miscellaneous goods and services,Miscellaneous,7.7,52.2,29.2,,,
Māori,2008,maori,11.1,Personal care,Personal care,subgroup,11,Miscellaneous goods and services,Miscellaneous,1.9,12.9,7.2,,,
Māori,2008,maori,11.3,Personal effects,Personal effects,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.3,2,1.1,,,
Māori,2008,maori,11.4,Insurance,Insurance,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.7,18.3,10.3,,,
Māori,2008,maori,11.5,Credit services,Credit services,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.7,4.7,2.7,,,
Māori,2008,maori,11.6,Other miscellaneous services,Miscellaneous services,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.2,14.9,8.4,,,
Māori,2008,maori,13,Other expenditure,Interest,group,13,Other expenditure,Interest,7.2,48.8,27.3,,,
Māori,2008,maori,13.1,Interest payments,Interest,subgroup,13,Other expenditure,Interest,7.2,48.8,27.3,,,
Māori,2008,maori,04.1.01,Actual rentals for housing,Rent,class,4,Housing and household utilities,Housing,16.3,110.6,62,,,
Māori,2008,maori,04.4.03,Local authority rates and payments,Local authority rates,class,4,Housing and household utilities,Housing,2,13.7,7.7,,,
Māori,2008,maori,04.5.01,Electricity,Electricity,class,4,Housing and household utilities,Housing,4.8,32.3,18.1,,,
Māori,2008,maori,07.2.02,Petrol,Petrol,class,7,Transport,Transport,6.4,43,24.1,,,
Superannuitant,2008,super,1,Food,Food,group,1,Food,Food,19.2,79.3,63.4,,,
Superannuitant,2008,super,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,3.5,14.5,11.6,,,
Superannuitant,2008,super,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,3.6,14.9,11.9,,,
Superannuitant,2008,super,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,8.8,36.4,29.1,,,
Superannuitant,2008,super,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,1.4,5.8,4.6,,,
Superannuitant,2008,super,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,1.9,7.9,6.3,,,
Superannuitant,2008,super,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,4.3,17.8,14.2,,,
Superannuitant,2008,super,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,3,12.4,9.9,,,
Superannuitant,2008,super,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,1.3,5.4,4.3,,,
Superannuitant,2008,super,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,3.4,14,11.2,,,
Superannuitant,2008,super,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,2.7,11.2,8.9,,,
Superannuitant,2008,super,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.8,3.3,2.6,,,
Superannuitant,2008,super,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,20.4,84.3,67.3,,,
Superannuitant,2008,super,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,3.6,14.9,11.9,,,
Superannuitant,2008,super,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,2.9,12,9.6,,,
Superannuitant,2008,super,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,6.6,27.3,21.8,,,
Superannuitant,2008,super,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,7.4,30.6,24.4,,,
Superannuitant,2008,super,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,5.4,22.3,17.8,,,
Superannuitant,2008,super,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,1.5,6.2,5,,,
Superannuitant,2008,super,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.5,2.1,1.7,,,
Superannuitant,2008,super,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,1.3,5.4,4.3,,,
Superannuitant,2008,super,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.2,0.8,0.7,,,
Superannuitant,2008,super,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.7,2.9,2.3,,,
Superannuitant,2008,super,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,1.3,5.4,4.3,,,
Superannuitant,2008,super,6,Health,Health,group,6,Health,Health,7.6,31.4,25.1,,,
Superannuitant,2008,super,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,1.7,7,5.6,,,
Superannuitant,2008,super,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,4.8,19.8,15.8,,,
Superannuitant,2008,super,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,1.1,4.5,3.6,,,
Superannuitant,2008,super,7,Transport,Transport,group,7,Transport,Transport,13.1,54.1,43.2,,,
Superannuitant,2008,super,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,2.5,10.3,8.3,,,
Superannuitant,2008,super,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,8.2,33.9,27.1,,,
Superannuitant,2008,super,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,2.4,9.9,7.9,,,
Superannuitant,2008,super,8,Communication,Communication,group,8,Communication,Communication,3.9,16.1,12.9,,,
Superannuitant,2008,super,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.3,1.2,1,,,
Superannuitant,2008,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.1,0.4,0.3,,,
Superannuitant,2008,super,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,3.5,14.5,11.6,,,
Superannuitant,2008,super,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,9.3,38.4,30.7,,,
Superannuitant,2008,super,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.1,4.5,3.6,,,
Superannuitant,2008,super,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0.4,1.7,1.3,,,
Superannuitant,2008,super,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,2,8.3,6.6,,,
Superannuitant,2008,super,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,2.1,8.7,6.9,,,
Superannuitant,2008,super,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,2.3,9.5,7.6,,,
Superannuitant,2008,super,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.6,2.5,2,,,
Superannuitant,2008,super,9.7,Package holidays,Package holidays,subgroup,9,Recreation and culture,Recreation and culture,0.9,3.7,3,,,
Superannuitant,2008,super,10,Education,Education,group,10,Education,Education,0.2,0.8,0.7,,,
Superannuitant,2008,super,10.1,Early childhood education,Early childhood education,subgroup,10,Education,Education,0,0,0,,,
Superannuitant,2008,super,10.2,Primary and secondary education,Primary/secondary education,subgroup,10,Education,Education,0.2,0.8,0.7,,,
Superannuitant,2008,super,10.3,Tertiary and other post school education,Tertiary education,subgroup,10,Education,Education,0,0,0,,,
Superannuitant,2008,super,10.4,Other educational fees,Other education,subgroup,10,Education,Education,0,0,0,,,
Superannuitant,2008,super,11,Miscellaneous goods and services,Miscellaneous,group,11,Miscellaneous goods and services,Miscellaneous,12,49.6,39.6,,,
Superannuitant,2008,super,11.1,Personal care,Personal care,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.1,8.7,6.9,,,
Superannuitant,2008,super,11.3,Personal effects,Personal effects,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.3,1.2,1,,,
Superannuitant,2008,super,11.4,Insurance,Insurance,subgroup,11,Miscellaneous goods and services,Miscellaneous,5.8,24,19.1,,,
Superannuitant,2008,super,11.5,Credit services,Credit services,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.3,1.2,1,,,
Superannuitant,2008,super,11.6,Other miscellaneous services,Miscellaneous services,subgroup,11,Miscellaneous goods and services,Miscellaneous,3.4,14,11.2,,,
Superannuitant,2008,super,13,Other expenditure,Interest,group,13,Other expenditure,Interest,1.3,5.4,4.3,,,
Superannuitant,2008,super,13.1,Interest payments,Interest,subgroup,13,Other expenditure,Interest,1.3,5.4,4.3,,,
Superannuitant,2008,super,04.1.01,Actual rentals for housing,Rent,class,4,Housing and household utilities,Housing,3.6,14.8,11.8,,,
Superannuitant,2008,super,04.4.03,Local authority rates and payments,Local authority rates,class,4,Housing and household utilities,Housing,6,24.8,19.9,,,
Superannuitant,2008,super,04.5.01,Electricity,Electricity,class,4,Housing and household utilities,Housing,6.6,27.5,21.9,,,
Superannuitant,2008,super,07.2.02,Petrol,Petrol,class,7,Transport,Transport,4.6,19.2,15.3,,,
All households,2011,allhh,1,Food,Food,group,1,Food,Food,19.2,169.7,100.7,,,
All households,2011,allhh,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,2.7,23.9,14.2,,,
All households,2011,allhh,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,3.2,28.3,16.8,,,
All households,2011,allhh,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,7.8,69,40.9,,,
All households,2011,allhh,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,2,17.7,10.5,,,
All households,2011,allhh,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,3.5,30.9,18.4,,,
All households,2011,allhh,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,6.4,56.6,33.6,,,
All households,2011,allhh,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,4,35.4,21,,,
All households,2011,allhh,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,2.3,20.3,12.1,,,
All households,2011,allhh,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,3.2,28.3,16.8,,,
All households,2011,allhh,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,2.6,23,13.6,,,
All households,2011,allhh,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.6,5.3,3.2,,,
All households,2011,allhh,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,21.6,191,113.2,,,
All households,2011,allhh,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,10.7,94.6,56.1,,,
All households,2011,allhh,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,1.9,16.8,10,,,
All households,2011,allhh,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,3.5,30.9,18.4,,,
All households,2011,allhh,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,5.5,48.6,28.8,,,
All households,2011,allhh,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,4,35.4,21,,,
All households,2011,allhh,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,1.1,9.7,5.8,,,
All households,2011,allhh,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.3,2.7,1.6,,,
All households,2011,allhh,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,0.9,8,4.7,,,
All households,2011,allhh,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.2,1.8,1.1,,,
All households,2011,allhh,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.6,5.3,3.2,,,
All households,2011,allhh,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,0.8,7.1,4.2,,,
All households,2011,allhh,6,Health,Health,group,6,Health,Health,4.2,37.1,22,,,
All households,2011,allhh,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,1,8.8,5.2,,,
All households,2011,allhh,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,2.9,25.6,15.2,,,
All households,2011,allhh,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.3,2.7,1.6,,,
All households,2011,allhh,7,Transport,Transport,group,7,Transport,Transport,13.5,119.4,70.8,,,
All households,2011,allhh,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,2.2,19.5,11.5,,,
All households,2011,allhh,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,9,79.6,47.2,,,
All households,2011,allhh,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,2.3,20.3,12.1,,,
All households,2011,allhh,8,Communication,Communication,group,8,Communication,Communication,4,35.4,21,,,
All households,2011,allhh,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.2,1.8,1.1,,,
All households,2011,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.2,1.8,1.1,,,
All households,2011,allhh,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,3.7,32.7,19.4,,,
All households,2011,allhh,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,8.2,72.5,43,,,
All households,2011,allhh,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.4,12.4,7.3,,,
All households,2011,allhh,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0.1,0.9,0.5,,,
All households,2011,allhh,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,1.9,16.8,10,,,
All households,2011,allhh,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,2.3,20.3,12.1,,,
All households,2011,allhh,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,1.2,10.6,6.3,,,
All households,2011,allhh,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.4,3.5,2.1,,,
All households,2011,allhh,9.7,Package holidays,Package holidays,subgroup,9,Recreation and culture,Recreation and culture,0.8,7.1,4.2,,,
All households,2011,allhh,10,Education,Education,group,10,Education,Education,1.2,10.6,6.3,,,
All households,2011,allhh,10.1,Early childhood education,Early childhood education,subgroup,10,Education,Education,0.3,2.7,1.6,,,
All households,2011,allhh,10.2,Primary and secondary education,Primary/secondary education,subgroup,10,Education,Education,0.3,2.7,1.6,,,
All households,2011,allhh,10.3,Tertiary and other post school education,Tertiary education,subgroup,10,Education,Education,0.6,5.3,3.2,,,
All households,2011,allhh,10.4,Other educational fees,Other education,subgroup,10,Education,Education,0,0,0,,,
All households,2011,allhh,11,Miscellaneous goods and services,Miscellaneous,group,11,Miscellaneous goods and services,Miscellaneous,7.9,69.8,41.4,,,
All households,2011,allhh,11.1,Personal care,Personal care,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.2,19.5,11.5,,,
All households,2011,allhh,11.3,Personal effects,Personal effects,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.4,3.5,2.1,,,
All households,2011,allhh,11.4,Insurance,Insurance,subgroup,11,Miscellaneous goods and services,Miscellaneous,4.1,36.3,21.5,,,
All households,2011,allhh,11.5,Credit services,Credit services,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.5,4.4,2.6,,,
All households,2011,allhh,11.6,Other miscellaneous services,Miscellaneous services,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.7,6.2,3.7,,,
All households,2011,allhh,13,Other expenditure,Interest,group,13,Other expenditure,Interest,6.7,59.2,35.1,,,
All households,2011,allhh,13.1,Interest payments,Interest,subgroup,13,Other expenditure,Interest,6.7,59.2,35.1,,,
All households,2011,allhh,04.1.01,Actual rentals for housing,Rent,class,4,Housing and household utilities,Housing,10.7,94.4,56,,,
All households,2011,allhh,04.4.03,Local authority rates and payments,Local authority rates,class,4,Housing and household utilities,Housing,3.1,27.1,16,,,
All households,2011,allhh,04.5.01,Electricity,Electricity,class,4,Housing and household utilities,Housing,4.9,43.1,25.5,,,
All households,2011,allhh,07.2.02,Petrol,Petrol,class,7,Transport,Transport,5.3,47.2,28,,,
Beneficiary,2011,benef,1,Food,Food,group,1,Food,Food,19,100.6,60.8,,,
Beneficiary,2011,benef,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,2.4,12.7,7.7,,,
Beneficiary,2011,benef,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,3.4,18,10.9,,,
Beneficiary,2011,benef,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,8.6,45.5,27.5,,,
Beneficiary,2011,benef,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,2.3,12.2,7.4,,,
Beneficiary,2011,benef,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,2.3,12.2,7.4,,,
Beneficiary,2011,benef,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,6.8,36,21.8,,,
Beneficiary,2011,benef,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,2.3,12.2,7.4,,,
Beneficiary,2011,benef,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,4.5,23.8,14.4,,,
Beneficiary,2011,benef,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,1.7,9,5.4,,,
Beneficiary,2011,benef,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,1.2,6.4,3.8,,,
Beneficiary,2011,benef,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.5,2.7,1.6,,,
Beneficiary,2011,benef,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,37.5,198.5,120,,,
Beneficiary,2011,benef,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,27,142.9,86.4,,,
Beneficiary,2011,benef,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,0.5,2.7,1.6,,,
Beneficiary,2011,benef,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,2.3,12.2,7.4,,,
Beneficiary,2011,benef,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,7.7,40.8,24.6,,,
Beneficiary,2011,benef,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,2.6,13.8,8.3,,,
Beneficiary,2011,benef,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,0.5,2.7,1.6,,,
Beneficiary,2011,benef,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.1,0.5,0.3,,,
Beneficiary,2011,benef,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,0.7,3.7,2.2,,,
Beneficiary,2011,benef,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.1,0.5,0.3,,,
Beneficiary,2011,benef,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.4,2.1,1.3,,,
Beneficiary,2011,benef,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,0.7,3.7,2.2,,,
Beneficiary,2011,benef,6,Health,Health,group,6,Health,Health,3.2,16.9,10.2,,,
Beneficiary,2011,benef,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,0.8,4.2,2.6,,,
Beneficiary,2011,benef,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,2.2,11.7,7,,,
Beneficiary,2011,benef,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.2,1.1,0.6,,,
Beneficiary,2011,benef,7,Transport,Transport,group,7,Transport,Transport,9.9,52.4,31.7,,,
Beneficiary,2011,benef,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,1.2,6.4,3.8,,,
Beneficiary,2011,benef,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,7.5,39.7,24,,,
Beneficiary,2011,benef,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,1.2,6.4,3.8,,,
Beneficiary,2011,benef,8,Communication,Communication,group,8,Communication,Communication,3.9,20.7,12.5,,,
Beneficiary,2011,benef,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.1,0.5,0.3,,,
Beneficiary,2011,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.2,1.1,0.6,,,
Beneficiary,2011,benef,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,3.6,19.1,11.5,,,
Beneficiary,2011,benef,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,4.7,24.9,15,,,
Beneficiary,2011,benef,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.1,5.8,3.5,,,
Beneficiary,2011,benef,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0,0,0,,,
Beneficiary,2011,benef,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,1.4,7.4,4.5,,,
Beneficiary,2011,benef,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,1.3,6.9,4.2,,,
Beneficiary,2011,benef,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,0.6,3.2,1.9,,,
Beneficiary,2011,benef,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.1,0.5,0.3,,,
Beneficiary,2011,benef,9.7,Package holidays,Package holidays,subgroup,9,Recreation and culture,Recreation and culture,0.1,0.5,0.3,,,
